Os07g0150200	LOC_Os07g05580
Os07g0176300	None
Os07g0176401	None
Os07g0176500	LOC_Os07g07990
Os07g0176400	None
Os07g0176600	LOC_Os07g08000
Os07g0176900	LOC_Os07g08030
Os07g0177000	LOC_Os07g08040
Os07g0176966	None
Os07g0177100	LOC_Os07g08050
Os07g0177200	LOC_Os07g08060
Os07g0177300	LOC_Os07g08070
Os07g0178100	LOC_Os07g08120
Os07g0178600	LOC_Os07g08140
Os07g0178700	LOC_Os07g08150
Os07g0178800	LOC_Os07g08160
Os07g0178900	LOC_Os07g08170
Os07g0178950	None
Os07g0179000	LOC_Os07g08180
Os07g0179200	LOC_Os07g08190
Os07g0179300	LOC_Os07g08200
Os07g0179400	LOC_Os07g08210
Os07g0179500	LOC_Os07g08220
Os07g0179700	LOC_Os07g08240
Os07g0180000	None
Os07g0180100	LOC_Os07g08270
Os07g0180300	LOC_Os07g08290
Os07g0180700	LOC_Os07g08300
Os07g0180800	LOC_Os07g08320
Os07g0180900	LOC_Os07g08330
Os07g0181000	LOC_Os07g08340
Os07g0181100	LOC_Os07g08350
Os07g0181200	LOC_Os07g08360
Os07g0181500	LOC_Os07g08390
Os07g0181700	LOC_Os07g08400
Os07g0181750	None
Os07g0181800	LOC_Os07g08410
Os07g0182000	LOC_Os07g08420
Os07g0182100	LOC_Os07g08430
Os07g0182200	LOC_Os07g08440
Os07g0182400	LOC_Os07g08460
Os07g0182601	None
Os07g0182900	LOC_Os07g08500
Os07g0183050	LOC_Os07g08520
Os07g0183100	LOC_Os07g08520
Os07g0183200	LOC_Os07g08530
Os07g0183350	LOC_Os07g08540
Os07g0183700	LOC_Os07g08600
Os07g0184200	LOC_Os07g08650
Os07g0184300	LOC_Os07g08660
Os07g0184500	LOC_Os07g08669
Os07g0184633	LOC_Os07g08680
Os07g0184800	LOC_Os07g08710
Os07g0184850	None
Os07g0184900	LOC_Os07g08729
Os07g0184950	None
Os07g0185000	LOC_Os07g08750
Os07g0185100	None
Os07g0185200	LOC_Os07g08760
Os07g0185300	LOC_Os07g08770
Os07g0185432	LOC_Os07g08790
Os07g0185500	LOC_Os07g08790
Os07g0185700	LOC_Os07g08810
Os07g0185800	LOC_Os07g08820
Os07g0185900	None
Os07g0186000	LOC_Os07g08840
Os07g0186150	None
Os07g0186200	LOC_Os07g08860
Os07g0186400	LOC_Os07g08880
